0,1,2,3,4,5,6
1.0124,1.0335,1.3972,1.0001,1.0196,1663.7,8.3512
1.0168,2.0758,1.2996,1.0,1.0149,1665.7,7.6402
1.0168,2.3229,1.2996,1.0001,1.0149,1666.3,7.4724
1.0168,3.0,1.2071,1.0,1.0149,1667.4,7.0015
1.0015,2.9999,1.7763,1.0001,1.0125,1670.0,6.9623
1.0035,2.9992,1.8618,1.0001,1.02,1670.4,6.9411
1.0059,3.0,1.8859,1.0001,1.0196,1670.5,6.9345
1.0076,2.9947,2.0799,1.0,1.0124,1671.3,6.8629
1.0034,2.9482,2.1919999999999997,1.0,1.0103,1671.7,6.8362
1.0166,2.9995,2.1557,1.0,1.0149,1671.7,6.8291
1.0016,2.9999,2.2415,1.0001,1.0125,1672.1,6.7729
1.0016,2.9999,2.2661,1.0,1.0125,1672.2,6.7586
1.0034,2.9992,2.3271,1.0,1.0036,1672.4,6.7227
1.0025,3.0,2.3199,1.0,1.0019,1672.4,6.7259
1.0,2.9496,2.4255,1.0,1.0004,1672.7,6.689
1.0091,2.9993,2.4263,1.0,1.0213,1673.0,6.6623
1.0,2.8555,2.56,1.0,1.0168,1673.2,6.6549
1.0036,3.0,2.5607,1.0,1.0163,1673.6,6.5583
1.0006,2.8536,2.7005,1.0,1.0132,1673.8,6.5391
1.0051,3.0,2.6192,1.0,1.0224,1673.9,6.5127
1.0021,2.9930000000000003,2.6794,1.0001,1.0361,1674.2,6.4659
1.0,2.9496,2.7509,1.0,1.0048,1674.3,6.4272
1.0,2.9792,2.7509,1.0,1.0039,1674.3,6.407
1.0002,2.9918,2.7275,1.0,1.0201,1674.3,6.4213
1.0093,2.9973,2.7663,1.0,1.0204,1674.5,6.388
1.0093,2.9973,2.7663,1.0,1.0204,1674.5,6.388
1.0,2.9496,2.8124,1.0,1.0203,1674.6,6.3709
1.0,2.8296,2.8987,1.0001,1.0039,1674.6,6.3659
1.0167,2.9999,2.8066,1.0,1.0059,1674.7,6.3518
1.0009,2.9993,2.8135,1.0,1.0213,1674.7,6.3367
1.0101,3.0,2.8271,1.0,1.0203,1674.8,6.3291
1.0025,3.0,2.9404,1.0,1.0018,1675.2,6.2083
1.034,2.8179,2.9973,1.0,1.0046,1675.2,6.2919
1.0,2.9499,2.99,1.0,1.0176,1675.4,6.1892
1.001,2.9613,3.0,1.0,1.0029,1675.4,6.17
1.0036,3.0,3.0,1.0,1.0043,1675.5,6.1455
1.0173,3.0,2.9861,1.0,1.0055,1675.5,6.1694
