0,1,2,3,4,5,6
1.2249,1.1257,1.0,1.0313,1.2153,1663.7,8.4174
1.2394,2.2706,1.0035,1.0821,1.2151,1666.8,7.7417
1.2252,2.3873,1.0037,1.0928,1.262,1667.4,7.6801
1.1893,2.728,1.041,1.0779,1.163,1667.7,7.4123
1.1893,2.8975,1.041,1.0514,1.3997,1668.9,7.2778
1.2422,2.4203,2.459,1.0423,1.1565,1673.3,7.2601
1.1737,2.4189,2.5585,1.0385,1.1361,1673.4,7.1370000000000005
1.1636,2.4185,2.5855,1.0432,1.2496,1674.1,7.1289
1.2253,2.3621,2.8335,1.0156,1.068,1674.2,6.9199
1.1849,2.738,3.0,1.042,1.2518,1676.8,6.5358
1.2976,2.8724,3.0,1.0443,1.2472,1677.3,6.5174
