0,1,2,3,4,5,6
1.0001,1.0019,1.0003,1.0,1.0011,1661.7,8.3036
1.0006,1.0,1.0,1.0,1.0,1661.7,8.305
1.0006,1.0,1.0,1.0,1.0,1661.7,8.305
1.0009,1.015,1.0003,1.0001,1.0003,1661.7,8.2952
1.0,1.0183,1.0023,1.0,1.0032,1661.8,8.2931
1.0,1.0919,1.0005,1.0,1.0003,1661.9,8.2423
1.0154,1.0628,1.0005,1.0,1.0003,1661.9,8.272
1.001,1.1096,1.0,1.0003,1.0019,1662.0,8.2313
1.0001,1.1315,1.0,1.0,1.0,1662.0,8.2152
1.0002,1.115,1.0,1.0,1.0001,1662.0,8.2266
1.0038,1.1075,1.0,1.0,1.0,1662.0,8.2339
1.0023,1.2262,1.0,1.0002,1.0,1662.2,8.1525
1.0002,1.187,1.0,1.0,1.0078,1662.2,8.1783
1.0002,1.2364,1.0,1.0,1.0,1662.3,8.144
1.0,1.3013,1.0003,1.0003,1.0011,1662.4,8.1003
1.0269,1.274,1.0,1.0,1.0,1662.4,8.1355
1.0002,1.319,1.0,1.0023,1.0138,1662.5,8.0921
1.0047,1.3557,1.0031,1.0,1.0034,1662.6,8.0669
1.0,1.4159,1.0037,1.0,1.0002,1662.7,8.0229
1.0,1.4969999999999999,1.0774,1.0,1.0279,1663.3,7.9893
1.0,1.7947,1.0003,1.0,1.0,1663.6,7.7644
1.0001,1.8564,1.0,1.0,1.0,1663.7,7.7224
1.0241,1.9393,1.0,1.0,1.0,1663.9,7.6815
1.0,1.999,1.0,1.0006,1.0002,1664.0,7.6264
1.0,2.0852,1.0156,1.0,1.0003,1664.3,7.5712
1.0209,2.1191,1.0003,1.0,1.0031,1664.4,7.5576
1.0003,2.1662,1.012,1.0,1.0003,1664.5,7.5153
1.0,2.1896,1.0,1.0002,1.0032,1664.5,7.4964
1.0001,2.2299,1.0292,1.0002,1.0002,1664.7,7.4769
1.0,2.2698,1.0,1.0001,1.0248,1664.8,7.4436
1.0087,2.311,1.0,1.0001,1.0015,1664.8,7.4192
1.0,2.353,1.0098,1.0004,1.0137,1665.0,7.3894
1.0047,2.4081,1.0016,1.0,1.0129,1665.1,7.3519
1.0003,2.5537,1.0,1.0,1.0003,1665.3,7.2485
1.0,2.5766,1.0,1.0,1.0,1665.4,7.2327
1.0026,2.6404,1.0,1.0,1.0008,1665.5,7.1911
1.0,2.6595,1.0,1.0001,1.0028,1665.6,7.1767
1.0026,2.6835,1.0,1.0,1.0008,1665.6,7.1617
1.0,2.7065,1.0,1.0,1.0001,1665.7,7.1444
1.0059,2.7493,1.0,1.0,1.0043,1665.8,7.1194
1.0,2.8122,1.0,1.0,1.0006,1665.9,7.0725
1.0002,2.7958,1.0,1.0001,1.0067,1665.9,7.0845
1.0047,2.8957,1.0,1.0002,1.0003,1666.1,7.0192
1.0003,2.9007,1.0,1.0003,1.0009,1666.1,7.0132
1.0,2.907,1.0,1.0,1.0162,1666.2,7.0095
1.0001,2.9827,1.0,1.0,1.0,1666.3,6.9566
1.0001,2.9685,1.0,1.0,1.0065,1666.3,6.9668
1.0002,3.0,1.0,1.0001,1.1129,1666.9,6.9549
1.0105,3.0,1.8514,1.0001,1.0217,1670.4,6.9483
1.0,2.9688,1.9285,1.0,1.0,1670.5,6.9357
1.0,3.0,1.9414,1.0044,1.0149,1670.8,6.9194
1.0035,2.9943,1.9649,1.0,1.0,1670.8,6.9072
1.0,3.0,1.9979,1.002,1.0706,1671.2,6.8982
1.0022,2.8935,2.2911,1.0022,1.0023,1672.0,6.8197
1.0,2.8424,2.4222,1.0022,1.0008,1672.5,6.7683
1.0,2.8555,2.4443,1.0,1.0217,1672.7,6.7417
1.0,2.7501,2.5388,1.0,1.0,1672.8,6.7416
1.0,2.8734,2.5128,1.0012,1.0019,1673.0,6.68
1.0,2.8466,2.5351,1.0,1.0005,1673.0,6.6789
1.0195,2.8971,2.5348,1.0003,1.0017,1673.2,6.6579
1.0067,2.9772,2.5369,1.0,1.0,1673.3,6.5931
1.0,2.8606,2.6455,1.0,1.0,1673.5,6.5802
1.0,2.7907,2.7338,1.0,1.0,1673.8,6.5506
1.0,2.8426,2.7032,1.0,1.0098,1673.8,6.5435
1.0005,2.8328,2.7001,1.0017,1.0023,1673.8,6.5557
1.0007,2.7815,2.7911,1.0,1.0,1674.0,6.5042
1.0,2.7882,2.7997,1.0,1.0009,1674.1,6.4911
1.0,2.8125,2.8107,1.0,1.0013,1674.2,6.4641
1.0004,2.9104,2.7717,1.0,1.0082,1674.3,6.4352
1.0099,2.7112,2.9410000000000003,1.003,1.0003,1674.6,6.414
1.0002,2.7527,2.9206,1.0,1.0295,1674.7,6.3979
1.0005,2.9762,2.8553,1.0023,1.0102,1674.8,6.3149
