0,1,2,3,4,5,6
1.0,1.0,1.0,1.0,1.0,1661.7,8.3046
1.0,1.0,1.0,1.0,1.0,1661.7,8.3046
1.129,1.5069,1.0,1.0005,1.0,1663.2,8.042
1.0159,1.8355,1.0,1.0,1.0015,1663.7,7.7469
1.0,2.1511,1.0113,1.033,1.0562,1664.9,7.5829
1.0,2.2133,1.1756,1.0001,1.0,1665.3,7.5196
1.0,2.2028,1.0,1.0,1.2183,1665.5,7.5056
1.0043,2.5472,1.0,1.0508,1.0001,1665.7,7.3444
1.0,2.7086,1.0,1.0,1.0337,1665.8,7.1458
1.1034,2.8687,1.0001,1.0001,1.0006,1666.3,7.0998
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0066,1.0,1666.4,6.9574
1.0,3.0,1.0,1.0,1.1419,1667.0,6.957000000000001
1.0,2.8384,2.1767,1.0,1.0014,1671.4,6.9159
1.0,3.0,2.2746,1.0,1.0,1672.2,6.7515
1.0,2.9596,2.3881,1.0,1.0,1672.6,6.7076
1.0,2.7215,2.608,1.0,1.0,1673.1,6.7059
1.0,3.0,2.5159,1.0,1.0,1673.3,6.5891
1.0,2.556,2.8786,1.0,1.0,1673.9,6.5718
1.0,2.7243,2.8157,1.0,1.0,1674.0,6.5192
1.0,2.9323,2.785,1.0,1.0,1674.3,6.407
1.0,3.0,2.7643,1.0,1.0,1674.4,6.3803
1.0434,2.9664,2.8208,1.0,1.0,1674.7,6.3775
1.0,2.9185,2.938,1.0,1.0,1675.0,6.2644
1.0,3.0,2.9205,1.0,1.0,1675.1,6.2271
1.0,3.0,3.0,1.0,1.0,1675.5,6.1428
1.0,3.0,3.0,1.0,1.0,1675.5,6.1428
1.0,3.0,3.0,1.0,1.0,1675.5,6.1428
1.0,3.0,3.0,1.0,1.0,1675.5,6.1428
