0,1,2,3,4,5,6,7,8,9,10,11,12,13
14,10,65,1,1,11,9,1,3,74,none,1,8.9,181.15
9,15,77,18,1,15,9,1,4,7,gzip,1,9.77,116.32
9,15,77,19,1,14,9,1,4,5,gzip,1,10.06,112.37
1,9,89,3,19,5,29,7,40,34,gzip,1,10.2,74.16
8,5,69,14,15,9,10,9,34,72,gzip,1,10.26,53.72
17,1,28,5,14,9,29,34,38,67,gzip,1,10.76,52.1
2,1,85,1,10,6,24,28,28,39,gzip,1,11.15,43.72
9,9,89,3,19,5,24,7,29,97,gzip,1,11.75,42.33
9,7,72,13,1,11,9,1,32,0,gzip,1,12.06,21.71
4,13,39,17,8,18,29,24,10,70,gzip,1,12.61,20.34
15,17,26,4,10,2,4,47,9,86,gzip,1,14.2,19.5
9,7,69,14,17,9,28,9,8,73,gzip,1,14.85,18.48
7,23,76,2,18,9,9,1,6,68,gzip,1,15.22,17.96
